Name,X,Y
ctg7180000067077_Component#_1,1.808352464,-0.023602247
ctg7180000067157_Component#_1,5.203185346,-9.899879885
ctg7180000067168_Component#_1,-1.047253469,2.019721501
ctg7180000067168_Component#_2,-1.637610876,1.380835014
ctg7180000067180_Component#_1,0.177123048,-5.325359816
ctg7180000067181_Component#_1,-0.077667678,-5.378017755
ctg7180000067183_Component#_1,2.121478555,-5.931725647
ctg7180000067187_Component#_1,-0.611122773,1.674992724
ctg7180000067187_Component#_2,1.166889199,-5.540317542
ctg7180000067194_Component#_1,-1.032961409,1.734766396
ctg7180000067212_Component#_1,-1.348585585,1.93757572
ctg7180000067223_Component#_1,0.714009284,0.714581489
ctg7180000067223_Component#_2,0.645875846,0.820834222
ctg7180000067227_Component#_1,-1.569820742,1.495469405
ctg7180000067228_Component#_1,-0.688286524,1.889895792
ctg7180000067228_Component#_3,-0.80825099,1.536235743
ctg7180000067228_Component#_4,1.904285697,-0.960845471
ctg7180000067233_Component#_1,-0.677436274,1.959651483
ctg7180000067238_Component#_1,0.650717092,1.522751779
ctg7180000067238_Component#_2,-1.024274631,2.092792026
ctg7180000067240_Component#_1,-0.834983519,1.417723712
ctg7180000067241_Component#_1,-1.450116479,1.639004897
ctg7180000067243_Component#_1,2.41258652,-1.657188518
ctg7180000067245_Component#_1,-1.479881286,1.736062252
ctg7180000067247_Component#_1,-1.338252957,1.795604273
ctg7180000067264_Component#_1,1.346011898,-5.592260806
ctg7180000067271_Component#_1,-1.628299322,1.349313094
ctg7180000067271_Component#_2,-1.425942588,1.710753796
ctg7180000067272_Component#_1,0.116153968,1.747828097
ctg7180000067272_Component#_2,1.295096282,-5.625394212
ctg7180000067280_Component#_1,0.810873834,0.105743678
ctg7180000067280_Component#_2,1.891961901,-0.539930173
ctg7180000067290_Component#_1,0.673804021,1.425764925
ctg7180000067290_Component#_2,-0.678050212,1.837310267
ctg7180000067309_Component#_1,1.730809234,-0.05099645
ctg7180000067321_Component#_1,-1.654828795,1.415497165
ctg7180000067325_Component#_1,2.488059608,-6.141369487
ctg7180000067326_Component#_1,1.361271551,-5.591847005
ctg7180000067344_Component#_1,1.301551963,0.644527229
ctg7180000067361_Component#_1,-0.878704061,1.666525167
ctg7180000067361_Component#_2,-1.092673861,1.737665212
ctg7180000067363_Component#_1,5.726286661,-8.77486946
ctg7180000067365_Component#_1,1.349045241,0.613409288
ctg7180000067382_Component#_1,0.710228626,0.055697755
ctg7180000067382_Component#_2,-1.631442909,1.545013498
ctg7180000067397_Component#_1,0.683185044,0.91784803
ctg7180000067398_Component#_1,-1.306708705,1.746574563
ctg7180000067398_Component#_2,0.979084513,-5.523463982
ctg7180000067403_Component#_1,-0.194851422,0.806001178
ctg7180000067405_Component#_1,0.016455784,-5.362981091
ctg7180000067411_Component#_1,-1.584850706,1.33949515
ctg7180000067413_Component#_1,2.175075787,-1.022393415
ctg7180000067416_Component#_1,0.297326965,1.597787277
ctg7180000067416_Component#_2,0.637561816,1.536087429
ctg7180000067417_Component#_1,0.674534353,-0.027816121
ctg7180000067417_Component#_2,1.387218654,0.820878237
ctg7180000067419_Component#_2,2.322684877,-1.384556585
ctg7180000067423_Component#_1,-1.681081952,1.498298797
ctg7180000067434_Component#_1,-1.1864692,1.617589975
ctg7180000067441_Component#_1,-0.060484134,-5.400788448
ctg7180000067446_Component#_1,-1.298014391,1.651109747
ctg7180000067450_Component#_1,-0.078168603,-5.389676825
ctg7180000067453_Component#_1,0.614906325,1.102525606
ctg7180000067454_Component#_1,0.493975878,1.497294054
ctg7180000067454_Component#_2,1.772302998,0.129256067
ctg7180000067454_Component#_3,0.230736729,1.876331821
ctg7180000067454_Component#_4,0.393447779,-5.309174849
ctg7180000067457_Component#_3,0.111451981,1.801703052
