X,Y,Name
-4.583681,5.8281994,g101_#1
-5.7628994,8.861596,g101_#2
14.599054,-9.786691,g101_#3
15.180855,-6.9684834,g101_#4
14.176958,-1.4051578,g101_#5
12.385809,-9.796696,g101_#6
10.274842,-9.291037,g117_#1
-7.5521603,0.5691502,g117_#2
-7.6860676,7.7947435,g117_#3
-8.882161,8.317783,g117_#4
-4.21555,8.051834,g117_#5
7.064112,-0.3550456,g117_#6
-8.823061,6.822066,g120_#1
8.050444,7.0075045,g120_#2
15.661602,-8.048361,g120_#3
12.6700945,-5.388947,g120_#4
10.845936,-5.7779174,g120_#5
-1.5089529,6.364659,g128_#1
8.696475,4.864939,g128_#2
-0.32290626,6.8103538,g128_#3
6.289706,-5.782648,g128_#4
-1.132717,4.307103,g128_#5
-4.485915,6.713539,g137_#1
-8.764918,2.9736452,g137_#2
8.865146,-6.7145796,g137_#3
11.453645,-9.652572,g137_#4
6.204358,-2.321677,g137_#5
-8.452328,0.28526545,g13_#1
12.321155,-5.090813,g13_#2
12.376627,-3.529984,g13_#3
-1.6768168,7.2198,g13_#4
-9.390179,5.870314,g13_#5
2.0313153,5.0385237,g13_#6
7.5968924,4.220132,g150_#1
10.734811,-8.940624,g150_#2
8.950454,6.092699,g150_#3
-3.8134317,1.061932,g150_#4
8.113427,5.506094,g150_#5
-7.783184,4.231383,g150_#6
7.171381,7.3901324,g161_#1
2.1404603,-2.0018885,g161_#2
-2.175526,3.0046368,g161_#3
1.2872834,1.4040225,g161_#4
9.51556,2.2556238,g161_#5
10.179904,-7.458589,g168_#1
-5.718637,9.885093,g168_#2
-6.513553,7.499079,g168_#3
8.304688,-0.82643425,g168_#4
-5.8479285,6.757397,g168_#5
-4.097257,3.838809,g168_#6
6.852727,-9.390889,g171_#1
14.696837,-3.9133635,g171_#2
5.453563,-6.318962,g171_#3
-3.2523406,1.8032612,g171_#4
6.432056,-0.60793394,g171_#5
6.429543,3.7495978,g171_#6
-7.3649387,2.6296983,g171_#7
0.5950088,3.7271404,g172_#1
10.978685,-6.9577303,g172_#2
11.1497965,-8.242693,g172_#3
-5.1868978,3.4082065,g172_#4
9.956123,-4.186384,g173_#1
10.154506,-4.9553967,g173_#2
7.5353374,-3.5866957,g173_#3
8.178254,-9.993557,g173_#4
1.2316239,-2.5199208,g173_#5
0.32481253,4.814546,g173_#6
-1.6024748,1.692528,g175_#1
7.132878,7.4890122,g175_#2
7.424904,-3.83402,g175_#3
-4.1194887,1.9396352,g175_#4
-0.37669918,0.52724063,g185_#1
0.054797947,3.464342,g185_#2
13.169236,-7.18264,g185_#3
-11.505462,6.5230484,g185_#4
-8.269597,4.574162,g185_#5
-0.3774385,0.5263045,g185_#6
11.902191,-9.1775675,g215_#1
1.0477786,3.5514042,g215_#2
-4.210647,2.6239874,g215_#3
-3.4982932,7.9708514,g215_#4
8.254615,3.585507,g215_#5
5.5137863,-5.8279624,g215_#6
6.3030276,2.3854835,g470_#1
7.040003,5.0675993,g470_#2
13.518366,-8.123023,g470_#3
-7.119706,8.54846,g503_#1
13.31553,-3.3753502,g503_#2
14.406186,-9.262297,g503_#3
-2.3850162,5.07183,g503_#4
13.37395,-6.0765233,g503_#5
8.40694,-8.451846,g503_#6
-4.274837,9.639964,g530_#1
10.3189335,-4.419705,g530_#2
11.870954,-6.480294,g530_#3
4.719265,-0.34641713,g530_#4
15.368195,-10.011225,g530_#6
7.112727,-8.999872,g546_#1
11.22745,-1.1521944,g546_#2
5.937522,-4.635804,g546_#3
5.6439786,4.250651,g546_#4
7.060216,2.8683321,g546_#5
3.3326433,0.78411883,g546_#6
9.974141,-6.8268533,g563_#1
-3.127872,5.26032,g563_#2
-0.8722833,5.25097,g563_#3
-10.576457,6.9755244,g563_#4
-10.436934,6.681817,g563_#5
4.727344,-4.320252,g563_#6
7.757651,0.102484226,g570_#1
14.388549,-3.0063057,g570_#2
-7.0431933,5.5556846,g570_#3
7.155381,4.622661,g570_#4
-8.920052,3.1364515,g570_#5
11.045326,2.060081,g570_#6
8.78123,1.1599565,g572_#1
14.388526,-3.0063167,g572_#2
12.332431,-8.560478,g572_#3
11.03878,-4.1064425,g572_#5
0.3673746,0.07941422,g572_#6
-8.451821,0.2852852,g572_#7
-2.0316145,7.172133,g583_#1
15.36592,-7.468293,g583_#2
9.797715,4.53131,g583_#3
-3.6432402,4.692313,g583_#4
7.406122,6.485416,g583_#5
-0.8395502,1.7191478,g583_#6
0.71130973,-2.7476826,g595_#1
8.67328,-9.362899,g595_#2
-1.9801738,0.9957809,g595_#3
5.1451945,-4.36633,g595_#4
1.8642484,-2.2059295,g595_#5
9.365541,-8.18742,g595_#6
9.421379,6.1771502,g596_#1
6.555595,-3.4908085,g596_#2
7.749739,-4.664062,g596_#3
-5.1671405,10.019708,g596_#4
-0.8913578,8.054197,g596_#5
-2.102327,-0.11554596,g596_#6
-5.242818,4.58842,g600_#1
14.051042,-6.8099294,g600_#2
0.5243363,4.316797,g600_#3
-6.1803813,8.017387,g600_#4
-10.066254,3.700147,g600_#5
7.9759307,1.7934732,g74_#1
8.15763,8.365496,g74_#2
-1.5016278,-0.6125887,g74_#3
15.431294,-3.5750368,g74_#4
-8.832674,5.96456,g74_#5
6.4700933,-8.091164,g74_#6
