X,Y,Name
-4.302569,-4.436906,g101_#1
-4.6602216,-4.1753244,g101_#2
-3.7567055,-3.0037165,g101_#3
-3.2380147,-3.7743428,g101_#4
-4.689968,-4.170145,g101_#5
-4.7258034,-2.8260484,g101_#6
-4.697455,-4.1715107,g117_#1
-5.4133687,-5.0396547,g117_#2
-5.4133687,-5.0396547,g117_#3
-5.4133687,-5.0396547,g117_#4
-5.4133687,-5.0396547,g117_#5
-4.102225,-2.8400993,g117_#6
-3.2592788,-4.9847846,g120_#1
-5.4133687,-5.0396547,g120_#2
-5.4133687,-5.0396547,g120_#3
-5.4133687,-5.0396547,g120_#4
-5.4133687,-5.0396547,g120_#5
-3.7568069,-3.0039456,g128_#1
-5.4133687,-5.0396547,g128_#2
-5.4133687,-5.0396547,g128_#3
-4.3082995,-4.441993,g128_#4
-4.6502085,-4.176191,g128_#5
-1.8216293,-4.302299,g137_#1
-4.5629635,-4.119949,g137_#2
-4.725805,-2.8260481,g137_#3
-4.237472,-4.1447816,g137_#4
-4.3082986,-4.4419923,g137_#5
-4.563081,-4.120041,g13_#1
-4.241318,-4.1457276,g13_#2
-4.5629635,-4.119949,g13_#3
-4.241318,-4.1457276,g13_#4
-4.3027844,-4.4371157,g13_#5
-4.241318,-4.1457276,g13_#6
-4.563088,-4.1200457,g150_#1
-4.302783,-4.437113,g150_#2
-4.4065766,-2.814256,g150_#3
-4.5629635,-4.119949,g150_#4
-4.563088,-4.1200457,g150_#5
-3.9505215,-2.979995,g150_#6
-4.474564,-4.585024,g161_#1
-5.5417566,-3.3356843,g161_#2
-4.652999,-4.176656,g161_#3
-1.8224277,-4.3032417,g161_#4
-3.2380147,-3.7743428,g161_#5
-5.4133687,-5.0396547,g168_#1
-1.8688115,-4.304022,g168_#2
-5.4133687,-5.0396547,g168_#3
-5.4133687,-5.0396547,g168_#4
-5.4133687,-5.0396547,g168_#5
-3.5538552,-5.422087,g168_#6
-5.4133687,-5.0396547,g171_#1
-3.5538552,-5.422087,g171_#2
-5.4133687,-5.0396547,g171_#3
-3.2592788,-4.9847846,g171_#4
-3.5538552,-5.422087,g171_#5
-5.4133687,-5.0396547,g171_#6
-5.4133687,-5.0396547,g171_#7
-3.1247118,-4.5085297,g172_#1
-3.2380147,-3.7743428,g172_#2
-5.4133687,-5.0396547,g172_#3
-5.4133687,-5.0396547,g172_#4
-5.4133687,-5.0396547,g173_#1
-5.4133687,-5.0396547,g173_#2
-5.4133687,-5.0396547,g173_#3
-5.4133687,-5.0396547,g173_#4
-5.4133687,-5.0396547,g173_#5
-5.4133687,-5.0396547,g173_#6
-3.2380147,-3.7743428,g175_#1
-5.4133687,-5.0396547,g175_#2
-4.4611797,-4.6353707,g175_#3
-4.5535784,-2.906285,g175_#4
-4.4613123,-4.6466403,g185_#1
-4.172714,-3.8447146,g185_#2
-4.651609,-4.174871,g185_#3
-4.563088,-4.1200457,g185_#4
-4.3082976,-4.4419913,g185_#5
-4.302572,-4.436909,g185_#6
-4.3027825,-4.4371133,g215_#1
-4.302569,-4.436906,g215_#2
-5.3610034,-3.1190965,g215_#3
-1.8654512,-4.3022785,g215_#4
-4.241318,-4.1457276,g215_#5
-4.302568,-4.436906,g215_#6
-4.3082976,-4.4419913,g470_#1
-4.563088,-4.1200457,g470_#2
-4.563088,-4.1200457,g470_#3
-5.3582864,-3.110709,g503_#1
-4.3027844,-4.4371157,g503_#2
-2.0160222,-4.3024235,g503_#3
-4.237472,-4.1447816,g503_#4
-4.5629635,-4.119949,g503_#5
-4.563088,-4.1200457,g503_#6
-4.302569,-4.436906,g530_#1
-5.2921376,-3.0654438,g530_#2
-4.241318,-4.1457276,g530_#3
-3.5456657,-3.1855829,g530_#4
-4.302569,-4.436906,g530_#6
-4.2413173,-4.145729,g546_#1
-4.2413173,-4.145729,g546_#2
-4.3027887,-4.43712,g546_#3
-4.3027825,-4.4371133,g546_#4
-4.563088,-4.1200457,g546_#5
-4.5629635,-4.119949,g546_#6
-4.302783,-4.437113,g563_#1
-4.563088,-4.1200457,g563_#2
-4.3082986,-4.4419923,g563_#3
-4.237472,-4.1447816,g563_#4
-4.5630956,-4.120053,g563_#5
-4.5631194,-4.120074,g563_#6
-4.3027887,-4.43712,g570_#1
-4.302569,-4.436906,g570_#2
-2.059016,-4.3040657,g570_#3
-4.302569,-4.436906,g570_#4
-4.562965,-4.11995,g570_#5
-4.3082976,-4.4419913,g570_#6
-4.302783,-4.437113,g572_#1
-4.5631227,-4.1200776,g572_#2
-4.237472,-4.1447816,g572_#3
-4.563088,-4.1200457,g572_#5
-4.3082995,-4.441993,g572_#6
-4.5631227,-4.1200776,g572_#7
-4.563088,-4.1200457,g583_#1
-4.5629635,-4.119949,g583_#2
-4.563088,-4.1200457,g583_#3
-1.9154572,-4.302728,g583_#4
-4.3082986,-4.4419923,g583_#5
-4.5629635,-4.119949,g583_#6
-4.302572,-4.436909,g595_#1
-4.563081,-4.120041,g595_#2
-4.5630875,-4.1200466,g595_#3
-4.5631227,-4.1200776,g595_#4
-4.3082976,-4.4419913,g595_#5
-4.563088,-4.1200457,g595_#6
-4.302568,-4.436906,g596_#1
-4.5631227,-4.1200776,g596_#2
-4.563088,-4.1200457,g596_#3
-4.563173,-4.120116,g596_#4
-4.563088,-4.1200457,g596_#5
-4.302569,-4.436906,g596_#6
-4.2323074,-4.1554604,g600_#1
-4.563088,-4.1200457,g600_#2
-4.3082976,-4.4419913,g600_#3
-4.302783,-4.437113,g600_#4
-4.563088,-4.1200457,g600_#5
-4.302783,-4.437113,g74_#1
-4.302783,-4.437113,g74_#2
-4.3082976,-4.4419913,g74_#3
-4.5629635,-4.119949,g74_#4
-4.5631227,-4.1200776,g74_#5
-5.4133687,-5.0396547,g74_#6
