X,Y,Name
296.07104,-1412.3187,g101
-403.81104,888.9189,g117
-1481.9612,-407.02133,g120
683.96625,425.02438,g128
1355.6716,1361.6224,g13
1541.0375,-649.76385,g137
-134.77875,-230.03091,g150
1010.76416,-1276.6726,g161
780.50653,1017.94293,g168
-1035.3936,799.6617,g171
-1045.4095,136.53789,g172
1360.7722,625.4853,g173
-472.3099,275.863,g175
-906.8568,1467.8544,g185
1799.8943,89.02781,g186
-331.28632,-863.6991,g215
-437.13046,-1523.8483,g470
853.18915,-620.14923,g503
92.76607,376.31168,g530
-1054.0059,-1029.2272,g546
-1654.6378,453.3816,g563
448.5794,-133.47795,g570
183.84152,978.7733,g572
521.9439,1669.8782,g583
-188.5152,1584.4545,g595
-732.78534,-391.23706,g596
260.72522,-744.44977,g600
1104.5547,-32.757324,g74
