X,Y,Name
13.627181,1608.8762,g101
614.17334,1424.0933,g117
-921.6675,189.7101,g120
-392.26282,534.7393,g128
977.3244,-878.12775,g13
128.90262,-140.29747,g137
-248.54672,-1216.1174,g150
1183.0901,1048.2544,g161
-1426.3097,-671.7689,g168
681.17993,-337.26236,g171
650.3500,206.81639,g172
606.9833,768.149,g173
-1500.8802,-19.502033,g175
228.25957,-706.1921,g185
74.37752,968.21655,g186
-851.8347,-1037.934,g215
-475.0715,1104.993,g470
-862.0131,-375.38712,g503
408.5792,-1293.5769,g530
-932.8533,738.9822,g546
-644.17004,1696.0731,g563
-325.8918,-575.3119,g570
-1561.7843,623.7583,g572
-387.21896,-4.2279305,g583
1314.3523,-231.26317,g595
-1220.9814,1282.2538,g596
1233.9271,400.47922,g600
120.346085,399.12897,g74
