X,Y,Name
0.06733918363936098,0.39625102146277125,g101
-0.27445073710859125,-0.17612098480367064,g117
0.2332239930623953,-0.15976754779274727,g120
-0.03648489944979439,-0.1359665251532591,g128
-0.1950041550310888,0.21691698225495754,g13
-0.16509218477216778,0.41094319135343904,g137
-0.25415872352495933,0.16811861841332576,g150
0.07643851079937404,0.2515242117656773,g161
-0.21456940824132043,0.09347549902435298,g168
-0.22702566228709134,-0.14503229321453182,g171
0.3335531546514889,0.512914773238,g172
-0.1547408461064284,-0.17583487066760725,g173
0.2762375518176754,0.6391428598730715,g175
0.15163415267006403,-0.3509078828264288,g185
-0.14376906694214922,0.32593009554350294,g186
0.3647475783152159,-0.3081592196827745,g215
0.4124727759190424,0.048259004699417046,g470
0.30184768603127315,0.23533248993120442,g503
-0.04624282828329863,0.17772047590944082,g530
-0.4265109461949211,-0.04957821218860625,g546
0.0327538773436935,-0.3903572527289698,g563
-0.043889041125476806,-0.3558700597632343,g570
-0.11047995689499795,-0.31459745995493305,g572
0.1839084685747574,-0.3480967718223094,g583
0.18605977712617192,-0.20719265915722618,g595
-0.17672687404225454,-0.09992772013651148,g596
-0.11122798832880215,-0.3478591773513144,g600
-0.039843391617170786,0.08873941377496343,g74
