X,Y,Name
-2289.5896,-797.7877,g101
-1148.122,483.5437,g117
1116.8323,-694.88727,g120
-356.47913,-1394.162,g128
-1080.6007,-2146.4424,g13
2117.030,-674.68414,g137
-1484.2687,-285.90802,g150
-1403.0587,-1270.3777,g161
1473.455,147.05795,g168
2404.6292,312.8452,g171
-389.75497,80.18622,g172
228.75113,1476.1996,g173
-725.1294,-643.4772,g175
624.74426,14.685544,g185
138.70831,-618.997,g186
1877.1786,1192.3296,g215
1644.3887,-1525.3258,g470
134.83348,645.1141,g503
-1655.2734,1336.9725,g530
561.6760,-1366.6967,g546
1142.124,1892.6388,g563
-49.163055,-2276.4119,g570
-2181.687,419.68655,g572
-600.8385,1109.1298,g583
-860.76874,2002.6648,g595
969.26685,889.88025,g596
140.84003,2384.5518,g600
953.8692,-2240.2273,g74
